,"31.12.2022"
"VASTAAVAA",""
"PYSYVÄT VASTAAVAT",""
"Pysyvät vastaavat yhteensä","–"
,""
"VAIHTUVAT VASTAAVAT",""
"Rahat ja pankkisaamiset",""
"1900 Käteisvarat","15 990,00€"
"Rahat ja pankkisaamiset yhteensä","15 990,00€"
"Vaihtuvat vastaavat yhteensä","15 990,00€"
"Vastaavaa yhteensä","15 990,00€"
,""
"VASTATTAVAA",""
"OMA PÄÄOMA",""
"Osakepääoma",""
"2001 Osakepääoma","2 500,00€"
"Osakepääoma yhteensä","2 500,00€"
"Tilikauden voitto (tappio)","-8,06€"
"Oma pääoma yhteensä","2 491,94€"
,""
,""
,""
"VIERAS PÄÄOMA",""
"Lainat rahoituslaitoksilta",""
"2621 Pitkäaikainen rahoituslaitoslaina 1","7 500,00€"
"2622 Pitkäaikainen rahoituslaitoslaina 2","6 000,00€"
"Lainat rahoituslaitoksilta yhteensä","13 500,00€"
"Muut velat",""
"29391 Alv myynnistä","58,06€"
"29392 Alv ostoista","-60,00€"
"Muut velat yhteensä","-1,94€"
"Vieras pääoma yhteensä","13 498,06€"
"Vastattavaa yhteensä","15 990,00€"
