# accounts	title	flags
1000-2999	ASSETS	HIDE_TOTAL REQUIRED BOLD
1000-1299	_FIXED ASSETS	
1000-1099	__Intanglible Assets	HIDE_TOTAL
1100-1199	__Tanglible Assets	HIDE_TOTAL
1200-1299	__Accumulated Depreciation	HIDE_TOTAL
2000-2999	_CURRENT ASSETS	HIDE_TOTAL REQUIRED BOLD
2000-2099	__Receivables	HIDE_TOTAL
2010-2019	___Trade Receivables	
2020-2029	___Accrued Income	
2000-2099	__Total Receivables	BOLD
2100-2199	__Disposable Assets	
2000-2999	_Total Variable Assets	BOLD
1000-2999	Total Assets	REQUIRED BOLD
		NEW_PAGE
	CAPITAL, RESERVES & LIABILITIES	HIDE_TOTAL REQUIRED BOLD
3000-3199 5000-9999	_CAPITAL & RESERVES	HIDE_TOTAL REQUIRED BOLD
3000-3099	__Capital	
3100-3199	__Retained Profits (Loss)	
5000-9999	__Profit (Loss) for the financial year	
3000-3199 5000-9999	_Total Equity	BOLD
4000-4999	_CREDITORS	HIDE_TOTAL REQUIRED BOLD
4000-4999	__Trade Creditors	
4000-4999	_Total Liabilities	BOLD
3000-3199 4000-4999 5000-9999	Total Liabilities	REQUIRED BOLD
