# accounts	title	flags
1000-2000	ASSETS	HIDE_TOTAL REQUIRED BOLD
1500-2000	_CURRENT ASSETS	HIDE_TOTAL REQUIRED BOLD
1600-1860	__Receivables	HIDE_TOTAL
1600-1630 1700-1730	___Trade Receivables	
1660-1670 1760-1780	___Other Receivables	
1680-1690 1800-1850	___Accrued Income	
1600-1860	__Total Receivables	BOLD
1900-2000	__Disposable Assets	
1500-2000	_Total Variable Assets	BOLD
1000-2000	Total Assets	REQUIRED BOLD
		NEW_PAGE
2000-9999	CAPITAL, RESERVES & LIABILITIES	HIDE_TOTAL REQUIRED BOLD
2000-2400	_CAPITAL & RESERVES	HIDE_TOTAL REQUIRED BOLD
2250-2330	__Retained Profits (Loss)	
3000-9999	__Profit (Loss) for the financial year	
2000-2400 3000-9999	_Total Equity	BOLD
2600-3000	_CREDITORS	HIDE_TOTAL REQUIRED BOLD
2670-2690 2870-2890	__Trade Creditors	
2600-3000	_Total Liabilities	BOLD
2000-9999	Total Liabilities	REQUIRED BOLD
