# accounts	title	flags
1000-2000	VASTAAVAA	HIDE_TOTAL REQUIRED BOLD
1000-1500	_PYSYVÄT VASTAAVAT	HIDE_TOTAL REQUIRED BOLD
1000-1100	__Aineettomat hyödykkeet	HIDE_TOTAL
1020-1040	___Kehittämismenot	
1040-1050	___Aineettomat oikeudet	
1050-1070	___Liikearvo	
1070-1090	___Muut pitkävaikutteiset menot	
1090-1100	___Ennakkomaksut	
1000-1100	__Aineettomat hyödykkeet yhteensä	BOLD
1100-1400	__Aineelliset hyödykkeet	HIDE_TOTAL
1100-1120	___Maa- ja vesialueet	
1120-1200	___Rakennukset ja rakennelmat	
1200-1300	___Koneet ja kalusto	
1300-1350	___Muut aineelliset hyödykkeet	
1350-1400	___Ennakkomaksut ja keskeneräiset hankinnat	
1100-1400	__Aineelliset hyödykkeet yhteensä	BOLD
1400-1500	__Sijoitukset	HIDE_TOTAL
1400-1470	___Muut osakkeet ja osuudet	
1470-1500	___Muut saamiset	
1400-1500	__Sijoitukset yhteensä	BOLD
1000-1500	_Pysyvät vastaavat yhteensä	BOLD
1500-2000	_VAIHTUVAT VASTAAVAT	HIDE_TOTAL REQUIRED BOLD
1500-1600	__Vaihto-omaisuus	HIDE_TOTAL
1500-1520	___Aineet ja tarvikkeet	
1520-1530	___Keskeneräiset tuotteet	
1530-1550	___Valmiit tuotteet/tavarat	
1550-1560	___Muu vaihto-omaisuus	
1560-1570	___Ennakkomaksut	
1500-1600	__Vaihto-omaisuus yhteensä	BOLD
1600-1860	__Saamiset	HIDE_TOTAL
1600-1640 1700-1730	___Myyntisaamiset	
1640-1650 1750-1770	___Lainasaamiset	
1650-1660 1770-1780	___Muut saamiset	
1660-1670 1780-1800	___Maksamattomat osakkeet/osuudet	
1670-1690 1800-1850	___Siirtosaamiset	
1600-1860	__Saamiset yhteensä	BOLD
1860-1900	__Rahoitusarvopaperit	HIDE_TOTAL
1860-1880	___Muut osakkeet ja osuudet	
1880-1900	___Muut arvopaperit	
1860-1900	__Rahoitusarvopaperit yhteensä	BOLD
1900-2000	__Rahat ja pankkisaamiset	
1500-2000	_Vaihtuvat vastaavat yhteensä	BOLD
1000-2000	Vastaavaa yhteensä	REQUIRED BOLD
		NEW_PAGE
2000-9999	VASTATTAVAA	HIDE_TOTAL REQUIRED BOLD
2000-2400	_OMA PÄÄOMA	HIDE_TOTAL REQUIRED BOLD
2000-2020	__Peruspääoma	
2250-2260	__Edellisten tilikausien ylijäämä (alijäämä)	
3000-9999	__Tilikauden ylijäämä (alijäämä)	
2000-2400 3000-9999	_Oma pääoma yhteensä	BOLD
2400-2500	_TILINPÄÄTÖSSIIRTOJEN KERTYMÄ	HIDE_TOTAL BOLD
2400-2450	__Poistoero	
2450-2500	__Vapaaehtoiset varaukset	
2400-2500	_Tilinpäätössiirtojen kertymä yhteensä	BOLD
2500-2600	_PAKOLLISET VARAUKSET	HIDE_TOTAL BOLD
2500-2520	__Eläkevaraukset	
2520-2530	__Verovaraukset	
2530-2590	__Muut pakolliset varaukset	
2500-2600	_Pakolliset varaukset yhteensä	BOLD
2600-3000	_VIERAS PÄÄOMA	HIDE_TOTAL REQUIRED BOLD
2620-2650 2820-2850	__Lainat rahoituslaitoksilta	
2650-2660 2850-2860	__Eläkelainat	
2660-2670 2860-2870	__Saadut ennakot	
2670-2680 2870-2890	__Ostovelat	
2680-2700 2890-2900	__Rahoitusvekselit	
2720-2750 2920-2960	__Muut velat	
2750-2800 2960-3000	__Siirtovelat	
2600-3000	_Vieras pääoma yhteensä	BOLD
2000-9999	Vastattavaa yhteensä	REQUIRED BOLD
