# accounts	title	flags
5000-5110	LIIKEVAIHTO	REQUIRED BOLD
5110-5300	Liiketoiminnan muut tuotot	
5300-5400	Materiaalit ja palvelut	HIDE_TOTAL
5300-5360	_Aineet, tarvikkeet ja tavarat	HIDE_TOTAL
5300-5360	__Ostot tilikauden aikana	
5360-5400	_Ulkopuoliset palvelut	
5300-5400	Materiaalit ja palvelut yhteensä	
5400-6800	Henkilöstökulut	HIDE_TOTAL
5400-6000	_Palkat ja palkkiot	
6000-6800	_Henkilösivukulut	HIDE_TOTAL
6000-6300	__Eläkekulut	
6300-6800	__Muut henkilösivukulut	
5400-6800	Henkilöstökulut yhteensä	
6800-7000	Poistot ja arvonalentumiset	HIDE_TOTAL
6800-6900	_Suunnitelman mukaiset poistot	
6900-6990	_Arvonalentumiset pysyvien vastaavien hyödykkeistä	
6990-7000	_Vaihtuvien vastaavien poikkeukselliset arvonalentumiset	
6800-7000	Poistot ja arvonalentumiset yhteensä	
7000-8990	Liiketoiminnan muut kulut	
5000-9000	LIIKEVOITTO (-TAPPIO)	REQUIRED BOLD
9000-9700	Rahoitustuotot ja -kulut	HIDE_TOTAL
9150-9300	_Muut korko- ja rahoitustuotot	
9300-9370	_Arvonalentumiset pysyvien vastaavien sijoituksista	
9370-9420	_Arvonalentumiset vaihtuvien vastaavien rahoitusarvopapereista	
9420-9700	_Korkokulut ja muut rahoituskulut	
9000-9700	Rahoitustuotot ja -kulut yhteensä	
5000-9700	VOITTO (TAPPIO) ENNEN SATUNNAISIA ERIÄ	REQUIRED BOLD
9700-9800	Satunnaiset erät	HIDE_TOTAL
9700-9740	_Satunnaiset tuotot	
9740-9780	_Satunnaiset kulut	
9700-9800	Satunnaiset erät yhteensä	
5000-9800	VOITTO (TAPPIO) ENNEN TILINPÄÄTÖSSIIRTOJA JA VEROJA	REQUIRED BOLD
9800-9900	Tilinpäätössiirrot	
9800-9840	_Poistoeron muutos	
9840-9900	_Vapaaehtoisten varausten muutos	
9900-9980	Tuloverot	
9980-9990	Muut välittömät verot	
5000-9999	TILIKAUDEN VOITTO (TAPPIO)	REQUIRED BOLD
