# accounts	title	flags
3000-3600	LIIKEVAIHTO	REQUIRED BOLD
3650-4000	Liiketoiminnan muut tuotot	
4000-5000	Materiaalit ja palvelut	HIDE_TOTAL
4000-4450	_Aineet, tarvikkeet ja tavarat	HIDE_TOTAL
4000-4400	__Ostot tilikauden aikana	
4400-4450	__Varastojen muutos	
4450-5000	_Ulkopuoliset palvelut	
4000-5000	Materiaalit ja palvelut yhteensä	
5000-6800	Henkilöstökulut	HIDE_TOTAL
5000-6000	_Palkat ja palkkiot	
6000-6800	_Henkilösivukulut	HIDE_TOTAL
6000-6300	__Eläkekulut	
6300-6800	__Muut henkilösivukulut	
5000-6800	Henkilöstökulut yhteensä	
6800-7000	Poistot ja arvonalentumiset yhteensä	
7000-8990	Liiketoiminnan muut kulut	
3000-9000	LIIKEVOITTO (-TAPPIO)	REQUIRED BOLD
3000-9700	VOITTO (TAPPIO) ENNEN SATUNNAISIA ERIÄ	REQUIRED BOLD
3000-9800	VOITTO (TAPPIO) ENNEN TILINPÄÄTÖSSIIRTOJA JA VEROJA	REQUIRED BOLD
9900-9980	Tuloverot	
9980-9990	Muut välittömät verot	
3000-9999	TILIKAUDEN VOITTO (TAPPIO)	REQUIRED BOLD
