# accounts	title	flags
1000-2999	VASTAAVAA	HIDE_TOTAL REQUIRED BOLD
1000-1299	_PYSYVÄT VASTAAVAT	
1000-1099	__Aineettomat hyödykkeet	HIDE_TOTAL BOLD
1000-1099	___Aineettomat hyödykkeet	DETAILS
1000-1099	__Aineettomat hyödykkeet yhteensä	BOLD
1100-1199	__Aineelliset hyödykkeet	HIDE_TOTAL BOLD
1100-1199	___Aineelliset hyödykkeet	DETAILS
1100-1199	__Aineelliset hyödykkeet yhteensä	BOLD
1200-1299	__Kertyneet poistot	HIDE_TOTAL BOLD
1200-1299	___Kertyneet poistot	DETAILS
1200-1299	__Kertyneet poistot yhteensä	BOLD
2000-2999	_VAIHTUVAT VASTAAVAT	HIDE_TOTAL REQUIRED BOLD
2000-2099	__Saamiset	HIDE_TOTAL
2010-2019	___Myyntisaamiset	HIDE_TOTAL BOLD
2010-2019	____Myyntisaamiset	DETAILS
2010-2019	___Myyntisaamiset yhteensä	BOLD
2020-2029	___Siirtosaamiset	HIDE_TOTAL BOLD
2020-2029	____Siirtosaamiset	DETAILS
2020-2029	___Siirtosaamiset yhteensä	BOLD
2000-2099	__Saamiset yhteensä	BOLD
2100-2199	__Rahat ja pankkisaamiset	HIDE_TOTAL BOLD
2100-2199	___Rahat ja pankkisaamiset	DETAILS
2100-2199	__Rahat ja pankkisaamiset yhteensä	BOLD
2000-2999	_Vaihtuvat vastaavat yhteensä	BOLD
1000-2999	Vastaavaa yhteensä	REQUIRED BOLD
		NEW_PAGE
	VASTATTAVAA	HIDE_TOTAL REQUIRED BOLD
3000-3199 5000-9999	_OMA PÄÄOMA	HIDE_TOTAL REQUIRED BOLD
3000-3099	__Osakepääoma	HIDE_TOTAL BOLD
3000-3099	__Osakepääoma	DETAILS
3100-3199	__Edellisten tilikausien voitto (tappio)	
5000-9999	__Tilikauden voitto (tappio)	
3000-3199 5000-9999	_Oma pääoma yhteensä	BOLD
4000-4999	_VIERAS PÄÄOMA	HIDE_TOTAL REQUIRED BOLD
4000-4999	__Velat	HIDE_TOTAL BOLD
4000-4999	___Velat	DETAILS
4000-4999	__Velat yhteensä	BOLD
4000-4999	_Vieras pääoma yhteensä	BOLD
3000-3199 4000-4999 5000-9999	Vastattavaa yhteensä	REQUIRED BOLD
