# accounts	title	flags
1000-2000	VASTAAVAA	HIDE_TOTAL REQUIRED BOLD
1000-1500	_PYSYVÄT VASTAAVAT	HIDE_TOTAL REQUIRED BOLD
1000-1100	__Aineettomat hyödykkeet	HIDE_TOTAL BOLD
1020-1030	___Kehittämismenot	HIDE_TOTAL BOLD
1020-1030	____Kehittämismenot	DETAILS
1020-1030	___Kehittämismenot yhteensä	BOLD
1030-1050	___Aineettomat oikeudet	HIDE_TOTAL BOLD
1030-1050	____Aineettomat oikeudet	DETAILS
1030-1050	___Aineettomat oikeudet yhteensä	BOLD
1050-1070	___Liikearvo	HIDE_TOTAL BOLD
1050-1070	____Liikearvo	DETAILS
1050-1070	___Liikearvo yhteensä	BOLD
1070-1090	___Muut pitkävaikutteiset menot	HIDE_TOTAL BOLD
1070-1090	____Muut pitkävaikutteiset menot	DETAILS
1070-1090	___Muut pitkävaikutteiset menot yhteensä	BOLD
1090-1100	___Ennakkomaksut	HIDE_TOTAL BOLD
1090-1100	____Ennakkomaksut	DETAILS
1090-1100	___Ennakkomaksut yhteensä	BOLD
1000-1100	__Aineettomat hyödykkeet yhteensä	BOLD
1100-1400	__Aineelliset hyödykkeet	HIDE_TOTAL BOLD
1100-1120	___Maa- ja vesialueet	HIDE_TOTAL BOLD
1100-1120	____Maa- ja vesialueet	DETAILS
1100-1120	___Maa- ja vesialueet yhteensä	BOLD
1120-1160	___Rakennukset ja rakennelmat	HIDE_TOTAL BOLD
1120-1160	____Rakennukset ja rakennelmat	DETAILS
1120-1160	___Rakennukset ja rakennelmat yhteensä	BOLD
1160-1300	___Koneet ja kalusto	HIDE_TOTAL BOLD
1160-1300	____Koneet ja kalusto	DETAILS
1160-1300	___Koneet ja kalusto yhteensä	BOLD
1300-1380	___Muut aineelliset hyödykkeet	HIDE_TOTAL BOLD
1300-1380	____Muut aineelliset hyödykkeet	DETAILS
1300-1380	___Muut aineelliset hyödykkeet yhteensä	BOLD
1380-1400	___Ennakkomaksut ja keskeneräiset hankinnat	HIDE_TOTAL BOLD
1380-1400	____Ennakkomaksut ja keskeneräiset hankinnat	DETAILS
1380-1400	___Ennakkomaksut ja keskeneräiset hankinnat yhteensä	BOLD
1100-1400	__Aineelliset hyödykkeet yhteensä	BOLD
1400-1500	__Sijoitukset	HIDE_TOTAL BOLD
1400-1410	___Osuudet saman konsernin yrityksissä	HIDE_TOTAL BOLD
1400-1410	____Osuudet saman konsernin yrityksissä	DETAILS
1400-1410	___Osuudet saman konsernin yrityksissä yhteensä	BOLD
1410-1420	___Saamiset saman konsernin yrityksiltä	HIDE_TOTAL BOLD
1410-1420	____Saamiset saman konsernin yrityksiltä	DETAILS
1410-1420	___Saamiset saman konsernin yrityksiltä yhteensä	BOLD
1420-1430	___Osuudet omistusyhteysyrityksissä	HIDE_TOTAL BOLD
1420-1430	____Osuudet omistusyhteysyrityksissä	DETAILS
1420-1430	___Osuudet omistusyhteysyrityksissä yhteensä	BOLD
1430-1440	___Saamiset omistusyhteysyrityksiltä	HIDE_TOTAL BOLD
1430-1440	____Saamiset omistusyhteysyrityksiltä	DETAILS
1430-1440	___Saamiset omistusyhteysyrityksiltä yhteensä	BOLD
1440-1470	___Muut osakkeet ja osuudet	HIDE_TOTAL BOLD
1440-1470	____Muut osakkeet ja osuudet	DETAILS
1440-1470	___Muut osakkeet ja osuudet yhteensä	BOLD
1470-1500	___Muut saamiset	HIDE_TOTAL BOLD
1470-1500	____Muut saamiset	DETAILS
1470-1500	___Muut saamiset yhteensä	BOLD
1400-1500	__Sijoitukset yhteensä	BOLD
1000-1500	_Pysyvät vastaavat yhteensä	REQUIRED BOLD
		BREAK
1500-2000	_VAIHTUVAT VASTAAVAT	HIDE_TOTAL REQUIRED BOLD
1500-1600	__Vaihto-omaisuus	HIDE_TOTAL BOLD
1500-1510	___Aineet ja tarvikkeet	HIDE_TOTAL BOLD
1500-1510	____Aineet ja tarvikkeet	DETAILS
1500-1510	___Aineet ja tarvikkeet yhteensä	BOLD
1510-1520	___Keskeneräiset tuotteet	HIDE_TOTAL BOLD
1510-1520	____Keskeneräiset tuotteet	DETAILS
1510-1520	___Keskeneräiset tuotteet yhteensä	BOLD
1520-1540	___Valmiit tuotteet/tavarat	HIDE_TOTAL BOLD
1520-1540	____Valmiit tuotteet/tavarat	DETAILS
1520-1540	___Valmiit tuotteet/tavarat yhteensä	BOLD
1540-1550	___Muu vaihto-omaisuus	HIDE_TOTAL BOLD
1540-1550	____Muu vaihto-omaisuus	DETAILS
1540-1550	___Muu vaihto-omaisuus yhteensä	BOLD
1550-1560	___Ennakkomaksut	HIDE_TOTAL BOLD
1550-1560	____Ennakkomaksut	DETAILS
1550-1560	___Ennakkomaksut yhteensä	BOLD
1500-1600	__Vaihto-omaisuus yhteensä	BOLD
1600-1860	__Saamiset	HIDE_TOTAL BOLD
1600-1630 1700-1730	___Myyntisaamiset	HIDE_TOTAL BOLD
1600-1630 1700-1730	____Myyntisaamiset	DETAILS
1600-1630 1700-1730	___Myyntisaamiset yhteensä	BOLD
1630-1640 1730-1740	___Saamiset saman konsernin yrityksiltä	HIDE_TOTAL BOLD
1630-1640 1730-1740	____Saamiset saman konsernin yrityksiltä	DETAILS
1630-1640 1730-1740	___Saamiset saman konsernin yrityksiltä yhteensä	BOLD
1640-1650 1740-1750	___Saamiset omistusyhteysyrityksiltä	HIDE_TOTAL BOLD
1640-1650 1740-1750	____Saamiset omistusyhteysyrityksiltä	DETAILS
1640-1650 1740-1750	___Saamiset omistusyhteysyrityksiltä yhteensä	BOLD
1650-1660 1750-1760	___Lainasaamiset	HIDE_TOTAL BOLD
1650-1660 1750-1760	____Lainasaamiset	DETAILS
1650-1660 1750-1760	___Lainasaamiset yhteensä	BOLD
1660-1670 1760-1780	___Muut saamiset	HIDE_TOTAL BOLD
1660-1670 1760-1780	____Muut saamiset	DETAILS
1660-1670 1760-1780	___Muut saamiset yhteensä	BOLD
1670-1680 1780-1800	___Maksamattomat osakkeet/osuudet	HIDE_TOTAL BOLD
1670-1680 1780-1800	____Maksamattomat osakkeet/osuudet	DETAILS
1670-1680 1780-1800	___Maksamattomat osakkeet/osuudet yhteensä	BOLD
1680-1690 1800-1850	___Siirtosaamiset	HIDE_TOTAL BOLD
1680-1690 1800-1850	____Siirtosaamiset	DETAILS
1680-1690 1800-1850	___Siirtosaamiset yhteensä	BOLD
1600-1860	__Saamiset yhteensä	BOLD
1860-1900	__Rahoitusarvopaperit	HIDE_TOTAL BOLD
1860-1870	___Osuudet saman konsernin yrityksissä	HIDE_TOTAL BOLD
1860-1870	____Osuudet saman konsernin yrityksissä	DETAILS
1860-1870	___Osuudet saman konsernin yrityksissä yhteensä	BOLD
1880-1890	___Muut osakkeet ja osuudet	HIDE_TOTAL BOLD
1880-1890	____Muut osakkeet ja osuudet	DETAILS
1880-1890	___Muut osakkeet ja osuudet yhteensä	BOLD
1890-1900	___Muut arvopaperit	HIDE_TOTAL BOLD
1890-1900	____Muut arvopaperit	DETAILS
1890-1900	___Muut arvopaperit yhteensä	BOLD
1860-1900	__Rahoitusarvopaperit yhteensä	BOLD
1900-2000	__Rahat ja pankkisaamiset	HIDE_TOTAL BOLD
1900-2000	___Rahat ja pankkisaamiset	DETAILS
1900-2000	__Rahat ja pankkisaamiset yhteensä	BOLD
1500-2000	_Vaihtuvat vastaavat yhteensä	REQUIRED BOLD
1000-2000	Vastaavaa yhteensä	REQUIRED BOLD
		NEW_PAGE
2000-9999	VASTATTAVAA	HIDE_TOTAL REQUIRED BOLD
2000-2400	_OMA PÄÄOMA	HIDE_TOTAL REQUIRED BOLD
2000-2020	__Osakepääoma	HIDE_TOTAL BOLD
2000-2020	___Osakepääoma	DETAILS
2000-2020	__Osakepääoma yhteensä	BOLD
2100-2110	__Osuuspääoma	HIDE_TOTAL BOLD
2100-2110	___Osuuspääoma	DETAILS
2100-2110	__Osuuspääoma yhteensä	BOLD
