# accounts	title	flags
1000-4000	VASTAAVAA	HIDE_TOTAL REQUIRED BOLD
1000-1100	_PYSYVÄT VASTAAVAT	HIDE_TOTAL REQUIRED BOLD
1000-1040	__Aineettomat hyödykkeet	HIDE_TOTAL
1020-1030	___Kehittämismenot	
1030-1040	___Aineettomat oikeudet	
1000-1040	__Aineettomat hyödykkeet yhteensä	BOLD
1040-1049	___Maa- ja vesialueet	
1049-1090	___Rakennukset ja rakennelmat	
1000-1100	_Pysyvät vastaavat yhteensä	BOLD
		BREAK
1100-4000	_VAIHTUVAT VASTAAVAT	HIDE_TOTAL REQUIRED BOLD
1100-1600	__Vaihto-omaisuus	HIDE_TOTAL
1100-1499	___Arvopaperit	
1500-1589	___Kryptovaluutat	
1590-1598	___Muu vaihto-omaisuus	
1100-1600	__Vaihto-omaisuus yhteensä	BOLD
1600-2920	__Saamiset	HIDE_TOTAL
1600-1650 2749-2759	___Myyntisaamiset	
1700-2699	___Vertaislainasaamiset	
1650-1660 2760-2779	___Lainasaamiset	
2700-2719 2779-2829	___Muut saamiset	
2719-2729 2829-2839	___Maksamattomat osakkeet/osuudet	
2729-2739 2839-2919	___Siirtosaamiset	
1600-2920	__Saamiset yhteensä	BOLD
3000-4000	__Rahat ja pankkisaamiset	HIDE_TOTAL
3000-3009	___Rahat	
3010-3049	___Pankkitilit	
3050-3299	___Osakevälittäjien valuuttatilit	
3300-3599	___Kryptovälittäjien valuuttatilit	
3600-3899	___Vertaislainavälittäjien valuuttatilit	
3000-4000	__Rahat ja pankkisaamiset yhteensä	BOLD
2920-3000	__Rahoitusarvopaperit	HIDE_TOTAL
2920-3000	__Rahoitusarvopaperit yhteensä	
1100-4000	_Vaihtuvat vastaavat yhteensä	BOLD
1000-4000	Vastaavaa yhteensä	REQUIRED BOLD
		NEW_PAGE
4000-9999	VASTATTAVAA	HIDE_TOTAL REQUIRED BOLD
4000-4079	_OMA PÄÄOMA	HIDE_TOTAL REQUIRED BOLD
4000-4020	__Osakepääoma	
4030-4039	__Muut rahastot	
4040-4059	__Edellisten tilikausien voitto (tappio)	
5000-9999	__Tilikauden voitto (tappio)	
4000-4079 5000-9999	_Oma pääoma yhteensä	BOLD
		BREAK
4190-5000	_VIERAS PÄÄOMA	HIDE_TOTAL REQUIRED BOLD
4225-4239 4630-4690	__Lainat rahoituslaitoksilta	
4250-4499	__Lainat osakevälittäjiltä	
4530-4559 4760-4839	__Muut velat	
4559-4599 4839-5000	__Siirtovelat	
4190-5000	_Vieras pääoma yhteensä	BOLD
4000-9999	Vastattavaa yhteensä	REQUIRED BOLD
