# accounts	title	flags
3000-3600	LIIKEVAIHTO	REQUIRED BOLD
3600-3630	Valmiiden ja keskeneräisten tuotteiden varastojen muutos	
3630-3650	Valmistus omaan käyttöön	
3650-4000	Liiketoiminnan muut tuotot	
4000-5000	Materiaalit ja palvelut	HIDE_TOTAL
4000-4450	_Aineet, tarvikkeet ja tavarat	HIDE_TOTAL
4000-4400	__Ostot tilikauden aikana	
4400-4450	__Varastojen muutos	
4450-5000	_Ulkopuoliset palvelut	
4000-5000	Materiaalit ja palvelut yhteensä	
5000-6800	Henkilöstökulut	HIDE_TOTAL
5000-6000	_Palkat ja palkkiot	
6000-6800	_Henkilösivukulut	HIDE_TOTAL
6000-6300	__Eläkekulut	
6300-6800	__Muut henkilösivukulut	
5000-6800	Henkilöstökulut yhteensä	
6800-7000	Poistot ja arvonalentumiset	HIDE_TOTAL
6800-6900	_Suunnitelman mukaiset poistot	
6900-6990	_Arvonalentumiset pysyvien vastaavien hyödykkeistä	
6990-7000	_Vaihtuvien vastaavien poikkeukselliset arvonalentumiset	
6800-7000	Poistot ja arvonalentumiset yhteensä	
7000-8990	Liiketoiminnan muut kulut	
3000-9000	LIIKEVOITTO (-TAPPIO)	REQUIRED BOLD
9000-9700	Rahoitustuotot ja -kulut	HIDE_TOTAL
9000-9040	_Tuotot osuuksista saman konsernin yrityksissä	
9040-9070	_Tuotot osuuksista omistusyhteysyrityksissä	
9080-9150	_Tuotot muista pysyvien vastaavien sijoituksista	
9150-9300	_Muut korko- ja rahoitustuotot	
9300-9370	_Arvonalentumiset pysyvien vastaavien sijoituksista	
9370-9420	_Arvonalentumiset vaihtuvien vastaavien rahoitusarvopapereista	
9420-9700	_Korkokulut ja muut rahoituskulut	
9000-9700	Rahoitustuotot ja -kulut yhteensä	
3000-9700	VOITTO (TAPPIO) ENNEN SATUNNAISIA ERIÄ	REQUIRED BOLD
9700-9800	Satunnaiset erät	HIDE_TOTAL
9700-9740	_Satunnaiset tuotot	
9740-9780	_Satunnaiset kulut	
9700-9800	Satunnaiset erät yhteensä	
3000-9800	VOITTO (TAPPIO) ENNEN TILINPÄÄTÖSSIIRTOJA JA VEROJA	REQUIRED BOLD
9800-9900	Tilinpäätössiirrot	
9800-9840	_Poistoeron muutos	
9840-9900	_Vapaaehtoisten varausten muutos	
9900-9980	Tuloverot	
9980-9990	Muut välittömät verot	
3000-9999	TILIKAUDEN VOITTO (TAPPIO)	REQUIRED BOLD
