# accounts	title	flags
5000-5110	LIIKEVAIHTO	DETAILS
		BREAK
5000-5110	LIIKEVAIHTO	REQUIRED BOLD
		BREAK
5110-5300	Liiketoiminnan muut tuotot	HIDE_TOTAL BOLD
5110-5300	_Liiketoiminnan muut tuotot	DETAILS
5110-5300	Liiketoiminnan muut tuotot yhteensä	BOLD
		BREAK
5300-5400	Materiaalit ja palvelut	HIDE_TOTAL BOLD
5300-5360	_Aineet, tarvikkeet ja tavarat	HIDE_TOTAL BOLD
5300-5360	__Ostot tilikauden aikana	HIDE_TOTAL BOLD
5300-5360	___Ostot tilikauden aikana	DETAILS
5300-5360	__Ostot tilikauden aikana yhteensä	BOLD
5360-5360	__Varastojen muutos	HIDE_TOTAL BOLD
5360-5360	___Varastojen muutos	DETAILS
5360-5360	__Varastojen muutos yhteensä	BOLD
5300-5360	_Aineet, tarvikkeet ja tavarat yhteensä	BOLD
5360-5400	_Ulkopuoliset palvelut	HIDE_TOTAL BOLD
5360-5400	__Ulkopuoliset palvelut	DETAILS
5360-5400	_Ulkopuoliset palvelut yhteensä	BOLD
5300-5400	Materiaalit ja palvelut yhteensä	BOLD
		BREAK
5400-6800	Henkilöstökulut	HIDE_TOTAL BOLD
5400-6000	_Palkat ja palkkiot	HIDE_TOTAL BOLD
5400-6000	__Palkat ja palkkiot	DETAILS
5400-6000	_Palkat ja palkkiot yhteensä	BOLD
6000-6800	_Henkilösivukulut	HIDE_TOTAL BOLD
6000-6300	__Eläkekulut	HIDE_TOTAL BOLD
6000-6300	___Eläkekulut	DETAILS
6000-6300	__Eläkekulut yhteensä	BOLD
6300-6800	__Muut henkilösivukulut	HIDE_TOTAL BOLD
6300-6800	___Muut henkilösivukulut	DETAILS
6300-6800	__Muut henkilösivukulut yhteensä	BOLD
6000-6800	_Henkilösivukulut yhteensä	BOLD
5400-6800	Henkilöstökulut yhteensä	BOLD
		BREAK
6800-7000	Poistot ja arvonalentumiset	HIDE_TOTAL BOLD
6800-6900	_Suunnitelman mukaiset poistot	HIDE_TOTAL BOLD
6800-6900	__Suunnitelman mukaiset poistot	DETAILS
6800-6900	_Suunnitelman mukaiset poistot yhteensä	BOLD
6900-6990	_Arvonalentumiset pysyvien vastaavien hyödykkeistä	HIDE_TOTAL BOLD
6900-6990	__Arvonalentumiset pysyvien vastaavien hyödykkeistä	DETAILS
6900-6990	_Arvonalentumiset pysyvien vastaavien hyödykkeistä yht.	BOLD
6990-7000	_Vaihtuvien vastaavien poikkeukselliset arvonalentumiset	HIDE_TOTAL BOLD
6990-7000	__Vaihtuvien vastaavien poikkeukselliset arvonalentumiset	DETAILS
